Maker Wise Financial Year Data  For All State (),,,
S No,                      Maker                       ,Financial Year ,     TOTAL     
,,,
,,2022-2023,
1,3EV INDUSTRIES PVT LTD,340,340
2,3S INDUSTRIES PRIVATE LIMITED,88,88
3,A1 HEAVY EQUIPMENTS DEVELOPER,21,21
4,A3T INCORPORTED,6,6
5,AADHYA ENTERPRISES,644,644
6,AADITYA GARBAGE PRODUCTS PVT LTD,18,18
7,AAHANA COMMERCE PVT LTD,436,436
8,AARGEE ELECTRIC,5,5
9,AARON INDUSTRIES,68,68
10,A B EXCAVATORS & EARTHMOVERS PVT LTD,1,1
11,ACCRETION POWER AUTOS,641,641
12,ACTION CONSTRUCTION EQUIPMENT LTD.,"7,946","7,946"
13,A D AGRO WORKS,104,104
14,ADAPT MOTORS PVT LTD,4,4
15,ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,"1,811","1,811"
16,ADIDEV TECHNOA PVT LTD,265,265
17,ADISHAKTI TRACTORS,306,306
18,ADISHWAR AUTO RIDE INDIA PVT.LTD,1,1
19,ADISHWAR AUTO RIDE INDIA PVT LTD,979,979
20,ADITYA AGRO INDUSTRIES,46,46
21,ADITYA ENTERPRISES,2,2
22,ADITYA SAI INDUSTRIES,143,143
23,ADM TECHNOLOGIES PVT. LTD.,1,1
24,ADRIS ELECTRIC PVT LTD,242,242
25,AFTEK MOTORS INDIA PVT LTD,237,237
26,"AFZAL ENGG WORKS,JUNAGARH",12,12
27,"AGNEE IRON WORKS,BARIPADA",1,1
28,AGP ENGINEERING PRODUCTS,1,1
29,AGRAWAL RENEWABLE ENERGY PVT LTD,1,1
30,AGRI KING TRACTORS & EQUIPMENTS PVT LTD,69,69
31,AGRO INDUSTRIES,219,219
32,AHITESHAM AGRO ENGINEERING,12,12
33,AHMED MOTORS,117,117
34,AJANTA KRUSHI YANTRA,75,75
35,AJAX ENGINEERING LTD,"2,170","2,170"
36,AJAX FIORI ENGINEERING PVT LTD,15,15
37,"AJAY AGRO ENTERPRISES,SBP",17,17
38,AJAY ENGG WORKS & EQUIP PLTD SAMBALPUR PARDHIAPALI,1,1
39,AJAY ENGINEERING AND AGRICULTURAL EQUIPMENT CO.,6,6
40,AJAY ENTERPRISES,11,11
41,AJAY MOTORS PRIVATE LIMITED,78,78
42,AJIT ENGINEERING WORKS,3,3
43,AJS MOTORCYCLES LTD,2,2
44,AKAL AGRO INDUSTRY,8,8
45,AKASH AGRO INDUSTRIES,6,6
46,AKASH KRISHI YANTRA,2,2
47,AKASH TRAILOR,57,57
48,A K AUTTO ELECTRICAL,1,1
49,A K GUPTA & CO.,447,447
50,AKMAAN MULTI MECH MACHINES,1,1
51,A K S ENG AGRO INDUSTRIES,7,7
52,AKSHAR AGRI TECH,1,1
53,AKSHAR STEEL,7,7
54,AKSHAY INDUSTRIES,1,1
55,ALBEDO VISION PVT LTD,21,21
56,ALLFINE INDUSTRIES PVT LTD,"7,081","7,081"
57,ALL TERRAIN CRANE,981,981
58,ALPHA SERVICES,8,8
59,ALTIER ELECTRIC VEHICLES PVT LTD,"2,045","2,045"
60,ALTIGREEN PROPULSION LABS PVT LTD,"1,141","1,141"
61,ALTIUS EV TECH PVT LTD,89,89
62,ALTIUS TECHNOLOGIES,4,4
63,AMAC INNOVATIVES,1,1
64,AMAN AGRO INDUSTRIES,67,67
65,AMAN AUTOMOBILES,18,18
66,AMAN ELECTRIC VEHICLES,39,39
67,AMAR AGRO SALES,8,8
68,AMAR ENGG. WORKS,3,3
69,AMARJEET HARVESTER INDUSTRY,22,22
70,AMBIKA ENTERPRISES,97,97
71,AMBIKA INDUSTRIES,"1,143","1,143"
72,AMMANN APOLLO INDIA PVT LTD,150,150
73,AMO MOBILITY SOLUTIONS PVT LTD,"2,304","2,304"
74,AMPERE VEHICLES PRIVATE LIMITED,"84,562","84,562"
75,AMPERE VEHICLES PVT LTD,"1,797","1,797"
76,"AMRIT ENGG WORKS,DKL",34,34
77,AMW MOTORS LIMITED,11,11
78,ANCHI MOTORCYCLE  (IMPORTER: ECOTRINITY AUTOMOBILE,15,15
79,ANCHI MOTORCYCLE (IMPORTER: EVNEXUS PVT. LTD.),1,1
80,ANJALI AUTO COMPONENTS,20,20
81,ANJALI TRADERS,70,70
82,ANKIT RAJ ENGINEERIG WORKS SHOP,1,1
83,ANNAPURNA INDUSTRIES,73,73
84,ANUGRAH ENGINEERING,1,1
85,"ANUP ENTERPRISES,SNG",4,4
86,ANVITA AUTO TECH WORKS PVT LTD,28,28
87,APARNA INDUSTRIES,99,99
88,A P I MOTORS PVT LTD,"1,029","1,029"
89,APM AUTO SALES,557,557
90,APOLLO CARMIX EQUIPMENTS PVT LTD,65,65
91,APOLLO CONSTRUCTION EQUIPMENTS PVT LTD,2,2
92,APOLLO INFFRATECH PVT LTD,1,1
93,APSARA ENTERPRISE,403,403
94,APTEC EQUIPMENT PRIVATE LIMITED,10,10
95,"ARATI ENTERPRISES, BHPATNA",5,5
96,ARCHIT ENTERPRISES,665,665
97,ARD EXIM,45,45
98,ARIN TRACTORS PVT LTD,51,51
99,ARMAN GREEN VEHICLES PVT LTD,9,9
100,ARMIX CONSTRUCTION MACHINERY PVT LTD,5,5
101,ARNA ELECTRIC AUTO PVT LTD,342,342
102,ARROW AUTOMOTIVE,"3,160","3,160"
103,ARS INTERNATIONAL PVT LTD,1,1
104,ASHA IMPEX,62,62
105,"ASHOK FABRIC & ENGG,RAIRAKHOL",2,2
106,ASHOK LEYLAND DEFENCE SYSTEMS LTD,100,100
107,ASHOK LEYLAND JOHN DEERE CONST EQUIP COMP PVT LTD,1,1
108,ASHOK LEYLAND LTD,"1,55,187","1,55,187"
109,ASHWA ELECTRIC,1,1
110,A.S.R BODY WORKS,1,1
111,ASSAM FABRICATION WORKS,28,28
112,ASTER AUTOMOTIVE PVT LTD,2,2
113,ASTON MARTIN LAGONDA LTD,8,8
114,ATHER ENERGY LTD,"76,943","76,943"
115,ATLAS COPCO INDIA LTD,1,1
116,ATOMEX E-MOTORS INDIA PVT LTD,3,3
